# champion_arms.csv — THE machine-readable answer to "which arm is the deliverable
# for year Y" (E05). AUTHORED decision, code plane (two-planes rule): promotion =
# editing this file in a commit; history = git log of this file; no status column
# anywhere. `why` cites the qc_indep live row that justified the pick — it is a
# POINTER, not a metrics record (thresholds/metrics stay in qc_indep_report.csv
# live=1; ckpt identity stays in the sem_best_{year}_{tag}.pt name convention).
# Years with MULTIPLE live arms need Kam's designation and are ABSENT until he
# names them — consumers fail loud / list them, never guess (last-wins was
# silently plotting the wrong 2013 arm).
#
# KAM DECISION 2026-08-26 — LEGACY ARMS DECLINED, DESIGNATIONS DEFERRED.
# The six contested years (2000/2002/2013/2015/2016/2017, each with 2+ arms from
# the spring per-year fine-tune campaign: citywide_rgb / xsensor* / 2016
# corrected-vs-untagged) get NO champion. Kam: the arms predate the current
# workflow (no manifests, no tags, no registry rows, no verification gates) and
# their provenance can't be vouched for — "I don't like using this data because
# it was not run on the current work flow." They stay scored in qc_indep (the
# measurements were honest) but are NOT publication deliverables. Deliverables
# for these years come from re-running the post-promotion winning recipe
# citywide under the current workflow (manifested, tagged, gated) — the
# campaign's natural next step (~1.5-2 A100-h/year, Kam-gated when scheduled).
# Consumers keep listing these years as undesignated; that is the honest state.
# The single-arm rows BELOW stay as operational pointers for dashboards (the
# only raster their year has ever had) — same era caveat applies to the
# citywide_rgb rows; none of them is a publication commitment either.
# ELIGIBILITY RULE (2026-08-26): only FULL-FOOTPRINT rasters are champion-eligible.
# A sector-restricted arm (tag *sectors_v1*) tests a model but cannot be the year's
# deliverable; its MODEL contests once a full-footprint raster exists for it — and
# any promotion also waits on the measured noise arm (see M04, campaign report S7).
# Sector-baseline year-labels (2003s..2020s) have no full-footprint arm at all yet;
# their rows below point at the only raster their year-label has ever had.
# Single-arm years below are auto-backfilled 2026-08-25: the designation is
# forced, not a judgment.
year,tag,run_id,why
2003s,sectors_v1,,only live arm — base2020 sector baseline (not fine-tuned)
2005,citywide_rgb,,only live arm
2006s,sectors_v1,,only live arm — base2020 sector baseline (not fine-tuned)
2007,citywide_rgb,,only live arm
2009,citywide_rgb,,only live arm
2011s,sectors_v1,,only live arm — base2020 sector baseline (not fine-tuned)
2012s,sectors_v1,,only live arm — base2020 sector baseline (not fine-tuned)
2018s,sectors_v1,,only live arm — base2020 sector baseline (not fine-tuned)
2019,citywide_rgb,,only live arm
2019n,p2nir,,only live arm
2020s,sectors_v1,,only live arm — base2020 sector baseline (not fine-tuned)
2021,citywide_rgb,,only live arm
2021s,p2nir,,only full-footprint live arm (fullext_sectors_v1 is sector-footprint; its model contests after a citywide run + the noise arm)
2022,citywide_rgb,,only live arm
2023,citywide_rgb,,only live arm
2023n,,,only live arm (untagged citywide prob)
2024,citywide_rgb,,only live arm
