"id","hunted","doi_or_arxiv","title","year","venue","gap_addressed","why_useful","key_claim","passage","source_url","proposed_change","confidence"
"B01","yes","10.64000/hg7jm-xyk95","Matchmaker, matchmaker, make me a match","2018","Crossref (blog; Front Matter/Rogue Scholar platform)","1","Our reference-resolution rate is 58.5% (Reports/LITKB_S2_BATCHING_2026-09-15.md S8.4), with 50 of 274 unresolved references failing at `no_title_or_author` because GROBID cannot segment pre-1990 footnote-style lists into fields (Reports/LITKB_REFERENCES_2026-09-15.md). This is Crossref's own post proposing a search-based alternative to reference-string parsing for their own matching pipeline [what B02 does with that alternative, INFERRED beyond this abstract: see B02].","A single free-text search against the target-record index, followed by a confirmation check, can match unparsed or malformed reference strings that field-by-field parsing cannot resolve.","Matching (or resolving) bibliographic references to target records in the collection is a crucial algorithm in the Crossref ecosystem. Automatic reference matching lets us discover citation relations in large document collections, calculate citation counts, H-indexes, impact factors, etc. At Crossref, we currently use a matching approach based on reference string parsing.","https://doi.org/10.64000/hg7jm-xyk95","Add a Crossref bibliographic-search call (raw reference string in, ranked candidate DOIs out) as a second proposer for references that fail GROBID's title/author parse, gated behind the existing title-ratio + first-author + year confirmation before any resolution is accepted.","high"
"B02","no","10.64000/e6ey2-wce96","Reference matching: for real this time","2018","Crossref (blog; Front Matter/Rogue Scholar platform)","1","Our 50 unresolved references are real pre-1990 footnote-style citations, not clean synthetic strings, so this post's real-data retest is the honest analog to quote in our own reports (CLAUDE.md 3.4c: a design validated only on synthetic data is UNVALIDATED). It is the direct sequel to B01, run against Crossref members' actual deposited reference lists rather than generated ones.","[INFERRED beyond the retrieved abstract, which poses this as an open question rather than reporting the result -- body text not read.] Retests the four matching approaches from B01 on real unstructured member-deposited reference strings rather than the synthetic ones B01 used.","In my previous blog post, Matchmaker, matchmaker, make me a match, I compared four approaches for reference matching. The comparison was done using a dataset composed of automatically-generated reference strings. Now it's time for the matching algorithms to face the real enemy: the unstructured reference strings deposited with Crossref by some members.","https://doi.org/10.64000/e6ey2-wce96","Before trusting a Crossref-search second-proposer in our pipeline, re-measure its hit rate specifically on the 50 `no_title_or_author` references (not a synthetic sample), mirroring this post's own real-data retest.","medium"
"B03","yes","10.1109/jcdl52503.2021.00029","S2AND: A Benchmark and Evaluation System for Author Name Disambiguation","2021","2021 ACM/IEEE Joint Conference on Digital Libraries (JCDL), pp.170-179","2","This is Semantic Scholar's own diagnosis of the failure class behind gap 2: an aggregator's identity/authorship matcher is only as good as the slice of data it was tuned on, which is exactly how a reviewed book's authors could end up merged onto the review record. Our own duplicate detector (Check 2, trigram title+year similarity, LITERATURE_KB_DESIGN_2026-09-13.md S4.6) has no cross-dataset calibration analog yet -- its threshold is explicitly UNCONFIRMED pending P2.","Author-name-disambiguation algorithms trained and evaluated on one bibliographic dataset generalize poorly to others because each dataset covers an idiosyncratic, biased slice of the literature; a unified multi-dataset benchmark substantially reduces the residual error (over 50% B^3 F1 error reduction vs. the production S2 algorithm).","Author Name Disambiguation (AND) is the task of resolving which author mentions in a bibliographic database refer to the same real-world person, and is a critical ingredient of digital library applications such as search and citation analysis. While many AND algorithms have been proposed, comparing them is difficult because they often employ distinct features and are evaluated on different datasets.","https://arxiv.org/abs/2103.07534 (hunted DOI: https://doi.org/10.1109/jcdl52503.2021.00029)","When Check 2's trigram-similarity duplicate detector is calibrated (currently UNCONFIRMED per design S4.6), calibrate it against known duplicate/merge-error pairs drawn from more than one source, the way S2AND unions eight datasets rather than tuning on one.","medium"
"B04","no","10.1162/qss_a_00112","Large-scale comparison of bibliographic data sources: Scopus, Web of Science, Dimensions, Crossref, and Microsoft Academic","2021","Quantitative Science Studies 2(1):20-41","2","Direct, measured evidence that no aggregator we fall back to under our own DOI-first rule (Crossref, then OpenAlex/Semantic Scholar/DataCite, LITERATURE_CONVENTION.md) is a uniform ground truth -- coverage and citation-link accuracy differ systematically by document type, discipline and period. Our `identifiers` table records which registry verified a DOI but not whether a second registry was checked and agreed.","Across five major bibliographic data sources, completeness and citation-link accuracy differ systematically and substantially by document type, discipline and time period, not just in aggregate.","We present a large-scale comparison of five multidisciplinary bibliographic data sources: Scopus, Web of Science, Dimensions, Crossref, and Microsoft Academic. The comparison considers scientific documents from the period 2008–2017 covered by these data sources. Scopus is compared in a pairwise manner with each of the other data sources.","https://doi.org/10.1162/qss_a_00112","Record, per identifier, which registries were checked and whether they agreed (not just which one verified it), so a future audit can see when Crossref and OpenAlex/S2 disagree on the same DOI's title or year rather than silently keeping only the first hit.","medium"
"B05","no","10.1007/s11192-024-05160-7","The OpenCitations Index: description of a database providing open citation data","2024","Scientometrics","3","A working, at-scale precedent for resolving preprint/journal-version and cross-registry identity BEFORE computing relationships between works, rather than clustering by textual similarity after the fact -- the same ordering our `identifiers` table already assumes (rows, not columns, design S4.2) but does not yet enforce for preprint-to-published-version pairs.","Citation data harvested from multiple sources (Crossref, NIH-OCC, DataCite, OpenAIRE, JaLC) is deduplicated into a single index by resolving different external identifiers for the same entity to one internal persistent identifier before citation links are built.","This article presents the OpenCitations Index, a collection of open citation data maintained by OpenCitations, an independent, not-for-profit infrastructure organisation for open scholarship dedicated to publishing open bibliographic and citation data using Semantic Web and Linked Open Data technologies. The collection involves citation data harvested from multiple sources.","https://doi.org/10.1007/s11192-024-05160-7","Add a `relation` identifier scheme (mirroring Crossref's own `relation` metadata: is-preprint-of / has-preprint / is-version-of) so a work's arXiv preprint and its published DOI resolve to one `works` row instead of two unrelated ones.","medium"
"B06","no","10.1162/qss_a_00292","OpenCitations Meta","2024","Quantitative Science Studies","3","OMID is the concrete precedent for the missing piece in our own design: an internal identifier independent of any registry, needed once manual proposals with no confirmable DOI/arXiv/ISBN accumulate (design S4.6, Check 4). Our `identifiers` table already treats external IDs as rows for the same reason design gives for OMID -- 'a study can carry several DOIs' (design S3).","A new globally persistent identifier (OMID) is assigned to every bibliographic resource specifically to disambiguate the same publication described under different external identifiers (a DOI in Crossref, a PMID in PubMed) and to handle publications with no external identifier at all.","It assigns new globally persistent identifiers (PIDs), known as OpenCitations Meta Identifiers (OMIDs) to all bibliographic resources, enabling it both to disambiguate publications described using different external PIDS (e.g., a DOI in Crossref and a PMID in PubMed) and to handle citations involving publications lacking external PIDs.","https://doi.org/10.1162/qss_a_00292","Explicitly document `works.id` (already a UUIDv7) as the OMID-equivalent join key for manually-admitted works with no DOI/arXiv/ISBN, so exports keep linking them consistently even before a registry ID ever appears.","medium"
"B07","yes","10.23889/ijpds.v7i3.1794","Splink: Free software for probabilistic record linkage at scale","2022","International Journal of Population Data Science 7(3)","4","This is the named tool behind gap 4, and it is exactly the missing capability in our Check 2 duplicate detector, which uses a single trigram-similarity threshold on title+year with no calibrated weight for how informative a match or mismatch on each field is (threshold UNCONFIRMED, design S4.6). Splink's match-weight framework is built precisely to combine several partially-informative fields into one probability instead of one threshold.","Splink implements a Fellegi-Sunter probabilistic linkage model (an Expectation-Maximisation algorithm derived from FastLink) in a scalable, customisable, SQL-backend-agnostic Python package, already used to deliver deduplicated linked administrative data across the UK criminal justice system.","It was decided to develop a software package that builds on FastLink's implementation in R of an Expectation-Maximisation algorithm to estimate a Fellegi-Sunter linkage model, adding a range of technical improvements, increased functionality and customisation options.","https://doi.org/10.23889/ijpds.v7i3.1794","Prototype Splink's Fellegi-Sunter model over our own admitted `works` + `identifiers` rows as a candidate replacement for the single trigram threshold in Check 2, scored against the tracker's existing hand-labelled `Duplicate of` pairs before any threshold changes (per the design's own P2 calibration plan).","high"
"B08","yes","10.48550/arXiv.2312.07559","PaperQA: Retrieval-Augmented Generative Agent for Scientific Research","2023","arXiv:2312.07559 (cs.CL)","5","This is the closed-loop architecture WORKPLAN.md already designs but has not built ('Sonnet review -> per-study drop-off -> litkb_hunt -> circle-back verified use'). PaperQA's retrieve-then-relevance-score-then-quote pattern is a working reference implementation for the `use add` step, whose `quote_verified` trigger (design S4.5) currently only checks a quote AFTER an agent supplies it, rather than retrieving and ranking candidate quotes itself.","An agent that retrieves full-text passages, scores their relevance, and answers only by citing and quoting the retrieved source outperforms non-grounded LLM baselines on a literature QA benchmark built to require synthesis across full papers, and matches expert human researchers on it.","We present PaperQA, a RAG agent for answering questions over the scientific literature. PaperQA is an agent that performs information retrieval across full-text scientific articles, assesses the relevance of sources and passages, and uses RAG to provide answers.","https://arxiv.org/abs/2312.07559","Adopt PaperQA's retrieve-then-relevance-score step as the mechanism that proposes a candidate quote + block_id for `litkb use add --quote`, rather than requiring the calling agent to locate the passage manually.","high"
"B09","no","10.48550/arXiv.2411.06101","Detecting Reference Errors in Scientific Literature with Large Language Models","2024","arXiv:2411.06101 (cs.CL)","5","A second, independent proposer for exactly the check our `quote_verified` trigger already performs deterministically (exact substring match, design S4.5): an LLM pass could catch a softer error the substring check is blind to -- a quote that is verbatim-present but attached to the WRONG claim or misattributed reference.","GPT-family LLMs can detect quotation/citation errors (a statement misattributed to the wrong reference) with limited context and no fine-tuning, evaluated against an expert-annotated statement-reference dataset.","Reference errors, such as citation and quotation errors, are common in scientific papers. Such errors can result in the propagation of inaccurate information, but are difficult and time-consuming to detect, posing a significant challenge to scientific publishing.","https://arxiv.org/abs/2411.06101","Add an LLM-based plausibility check (statement vs. quoted passage, not statement vs. reference identity) as a second, non-blocking signal alongside the database's exact-substring `quote_verified`, flagged for review rather than gating promotion, since 3.4c requires any new gate to be shown to fire on a known-bad case first.","medium"
"B10","yes","10.14778/3229863.3229867","Automating large-scale data quality verification","2018","Proceedings of the VLDB Endowment 11(12):1781-1794","6","A working precedent for exactly the pattern CLAUDE.md 3.4c already mandates for our own guards ('a kill criterion must be shown to fire on a known-bad input before it counts as a gate', 'mutation-test it the way qc/claims.py was mutation-tested'): Deequ's constraint suggestions plus historic anomaly detection is the generalized, always-on version of what we currently do by hand per guard.","A declarative API combining common data-quality constraints with user-defined validation code lets a pipeline run 'unit tests for data' at scale, executed as aggregation queries, with incremental validation on growing datasets and anomaly detection over historic data-quality time series.","Our system provides a declarative API, which combines common quality constraints with user-defined validation code, and thereby enables 'unit tests' for data. We efficiently execute the resulting constraint validation workload by translating it to aggregation queries on Apache Spark.","https://doi.org/10.14778/3229863.3229867","Adopt Deequ's incremental-validation pattern (constraints checked on every new batch, compared against a historic time series) for the litkb pipeline's own data-quality checks (binding ratio, coverage floor, quote_verified rate), so a regression shows up as a time-series anomaly rather than only at the next manual audit.","medium"
