"field","mechanism","one_directional","licensing_evidence","stated_bound_or_rate","ground_truth_needed","feasible_at_2k_labels","skeptic_verdict","citation","url"
"1 multi-object tracking","M1 asymmetric birth/death thresholds (n_init 3 vs A_max 30)","partial","continued association (IoU/Mahalanobis/cosine) on frames either side of the gap; during the gap nothing licenses anything","no bound; DeepSORT 'tentative during their first three frames', 'Amax=30 frames'; SORT T_Lost=1 for stated operational reasons","dense per-frame boxes to tune N and K (MOT validation split)","no to derive (needs gold every year); yes to audit a chosen (N_init,K) on the 42 losses + 1,170 no-change points","not adjudicated (finder label LEAD)","Wojke, Bewley & Paulus 2017 ICIP (DeepSORT); Bewley 2016 (SORT); Zhang 2022 (ByteTrack)","https://arxiv.org/abs/1703.07402"
"1 multi-object tracking","M2 low-score second association under existing-track support (BYTE)","yes","a low-confidence detection matching an existing tracklet's prediction by IoU alone","no bound; MOT17 Table 4 MOTA 80.3 / IDF1 77.3 / HOTA 63.1 / IDs 2196; no isolated recovery error rate; lost-track buffer 30 frames unablated","verified present/absent crown-years to place a second threshold t_low inside a crown polygon with both neighbours PRESENT","yes - one threshold; needs the continuous per-year probability rasters and per-year calibration","not adjudicated (finder label LEAD)","Zhang et al. 2022 ECCV (ByteTrack)","https://arxiv.org/abs/2110.06864"
"1 multi-object tracking","M3 two-sided gap-capped trajectory interpolation (GSI / ORU)","yes","two real observations bracketing the gap plus a same-identity link (AFLink: 30 frames, 75 px)","hard cap only: 'the maximum gap allowed for interpolation is 20 frames, and hyperparameter tau is 10'; no false-interpolation rate (verified by targeted re-fetch); on SIMULATED gold Jaqaman et al. 2008 (u-track, PMC2747604, fetched by the critic) report 'only 10% false links' at an 8-frame gap-closing window","bracketed crown-years with known outcome across several gap lengths","partial - 42 losses audit one gap length; cannot fit tau as a function of gap length","not adjudicated (finder label LEAD)","Du et al. 2022 IEEE TMM (StrongSORT); Cao et al. 2023 CVPR (OC-SORT)","https://arxiv.org/abs/2202.13514"
"1 multi-object tracking","M4 PMBM Bernoulli existence update with state-dependent p_d","yes","the absence itself, weighted by p_d(x): r <- r*Int((1-p_d)p)/rho(empty); presence near-conclusive (re-detection r=1)","exact posterior conditional on the model (Sec. III-C2); no measured error rate; paper's implementation sets p_d constant (Sec. V-C)","a calibrated p_D(size,GSD,season) curve; a survival prior p_S; a held-out set for the cuts; ±0.05 on p_D in pre-2005 acquisitions needs ~3,600 verifications","no as a licence - 0/42 caps at 7.1%; yes as an input modulating a both-sides-licensed fill","WEAKENED -> LEAD. Single-anchor: from ONE detection the filter licenses 9 absences at p_D=0.15, 5 at 0.30, 3 at 0.50 (cut 0.9); licence longest where evidence weakest; after one absence r is identical for a real removal and a flicker; p_d constant in the paper's own implementation; STRUCTURAL-OR-IDENTIFIABILITY-ONLY","Garcia-Fernandez, Williams, Granstrom & Svensson 2018 IEEE TAES 54(4):1883","https://arxiv.org/abs/1703.04264"
"1 multi-object tracking","M5 separated false-stitch / false-break accounting (HOTA AssA via TPA/FNA/FPA)","no","n/a - a measurement; A(c)=|TPA|/(|TPA|+|FNA|+|FPA|), DetA, AssA (Eqs. 10-12); MOT16 excludes departure-and-return from evaluation","definitions, not a bound; DeepSORT 781 identity switches / 830 GT test tracks ~0.94 per trajectory (upper envelope, inferred arithmetic)","crown trajectories with a gold verdict at every acquisition in the interval, not endpoints only","yes with existing panel if per-acquisition verdicts exist; resolution limited by 42 losses (7.1%)","WEAKENED -> LEAD. Hiding: the heal-everything run scores AssA 0.991 / HOTA 0.987 vs honest 0.700 because AssA is TP-weighted and 1,170 of 1,212 crowns cannot generate an FPA; the merge term is identically empty with fixed 2020 identity; survives only as stratified AssPr (Eq. 26) on the 42 losses; DESIGN-ONLY as transposed. Critic (fetched): the AOGM/TRA edit-operation count (Matula et al. 2015 PLOS ONE, doi 10.1371/journal.pone.0144959) penalises each spurious link once and cannot be diluted by clean crowns - an undiluted alternative, not adjudicated","Luiten et al. 2021 IJCV (HOTA); Milan et al. 2016 (MOT16); Ristani 2016 (IDF1)","https://arxiv.org/abs/2009.07736"
"1 multi-object tracking","M6 camera-motion compensation before the association gate","no","affine registration (keypoints + sparse flow + RANSAC) applied to the predicted state before IoU","no bound; MOT17-val ablation IDF1 79.89->81.51, HOTA 68.12->69.06; no error-propagation analysis","the inter-year coregistration table (exists)","yes - zero labels; compare with a tolerance no tighter than registration p95","not adjudicated (finder label LEAD)","Aharon, Orfaig & Bobrovsky 2022 (BoT-SORT)","https://arxiv.org/abs/2206.14651"
"1 multi-object tracking","M7 learned object permanence with amodal supervision","partial","a learned motion prior supervised by amodal synthetic labels (Parallel Domain); visibility as a separate head","no bound; no invisibility duration limit; no hallucination-rate analysis; KITTI MOTA 91.3 (Car)","amodal labels for objects not visible in the image (simulator or independent sensor)","no - a human cannot label an unresolvable crown","not adjudicated (finder label REJECT)","Tokmakov, Li, Burgard & Gaidon 2021 ICCV (PermaTrack)","https://arxiv.org/abs/2103.14258"
"1 multi-object tracking","M8 score-based (SPRT) / M-of-N track logic with a designed false-track rate","partial","accumulated log-likelihood ratio of real-target vs false-track; relative deletion threshold below the track's own maximum score","claimed but not verifiable: Wald thresholds and update formulas absent from the fetched vendor page; Reid 1979 / Fortmann 1983 unreadable","a false-alarm density and a p_D to make the ratio well-posed; verified sequences to place one relative threshold D","yes to place one D; no to validate a designed false-track probability","not adjudicated (finder label LEAD)","MathWorks Sensor Fusion and Tracking Toolbox, 'Introduction to Track Logic' (vendor documentation)","https://www.mathworks.com/help/fusion/ug/introduction-to-track-logic.html"
"2 video semantic segmentation","M1 predicted-mislabel-probability gate on propagation + budgeted annotation selection","no","four-term distance d=beta(d_app+d_mot+d_occ+d_out), all four flow-derived; P=1-exp(-d); accumulated over hops (Eq. 6)","no bound; Table 1 'average number of incorrect pixels' (hundreds; ~4.9% of pixels at k=1 LabelMe); weights asserted not fitted ('we did not tune these values')","dense per-pixel truth at both frames of a pair to check predicted vs actual (Fig. 5a); with truth at 2020 only one diagonal cell is computable","no for the gate (stratification arithmetic gives ~11 points per (pair,gap) cell); yes for Step-5 allocation of the next labelling tranche","WEAKENED -> LEAD (split). Gate dropped: d_geom invented; under a global transform only d_app survives and it is anti-correlated with the use case (coarse leaf-off miss = maximal d_app -> refuse); fills from one side when only one labelled neighbour exists; Step 5 annotation budgeting survives; STRUCTURAL-OR-IDENTIFIABILITY-ONLY","Vijayanarasimhan & Grauman 2012 ECCV ('Active Frame Selection for Label Propagation in Videos')","https://www.cs.utexas.edu/~grauman/papers/videoseg-ECCV2012.pdf"
"2 video semantic segmentation","M2 fixed-radius ±k joint image+label propagation with a gap-length ablation","no","a global hyperparameter k chosen by ablation; no per-pixel licence","no bound; 'Starting from ±4, the model accuracy starts to drop'; Table 2 mIoU 80.54 at ±1 -> 80.18 at ±5 (swing 0.36)","a held-out panel re-scored at each maximum healed gap g","yes - re-scores one panel; 42 losses give ~2.4% resolution per g","not adjudicated (finder label LEAD)","Zhu et al. 2019 CVPR","https://arxiv.org/abs/1812.01593"
