"id","doi_or_arxiv","title","year","venue","gap_addressed","why_useful","key_claim","passage","passage_url","proposed_change","confidence"
"D1","10.48550/arXiv.2308.13418","Nougat: Neural Optical Understanding for Academic Documents","2023","arXiv preprint","1","We score 11/20 gold equations correct with one LaTeX decoder and want a second, architecturally distinct decoder to make agreement a stability signal. Nougat is a full ViT-encoder/BART-decoder OCR model already trained end-to-end on scientific-PDF-to-markup (not just isolated formula crops), so it disagrees with our current decoder on genuinely different failure modes rather than shared ones.","A Visual Transformer OCR model can convert whole scientific-document pages (not just cropped equations) directly into markup, including math, without a separate detection step.","Scientific knowledge is predominantly stored in books and scientific journals, often in the form of PDFs. However, the PDF format leads to a loss of semantic information, particularly for mathematical expressions. We propose Nougat (Neural Optical Understanding for Academic Documents), a Visual Transformer model that performs an Optical Character Recognition (OCR) task for processing scientific documents into a markup language,","https://arxiv.org/abs/2308.13418","Stand up Nougat as the second formula decoder alongside the current one and score exact-match agreement on the 20-equation gold set before trusting either on ungraded pages.","high"
"D2","10.48550/arXiv.2404.15254","UniMERNet: A Universal Network for Real-World Mathematical Expression Recognition","2024","arXiv preprint","1","It ships UniMER-1M/UniMER-Test, a large, real-world-scenario (not synthetic-only) formula benchmark built because prior formula-recognition training data was too clean; that gives us an external, already-graded set to validate our agreement threshold against, rather than tuning it only on our own 20 gold equations. Its encoder/decoder design differs architecturally from our current decoder, which is what makes disagreement between the two informative rather than correlated noise.","Training on a larger and more diverse real-world formula corpus (UniMER-1M) produces a measurably more generalizable recognition model than training on the cleaner, narrower datasets used previously.","The paper introduces the UniMER dataset, marking the first study on Mathematical Expression Recognition (MER) targeting complex real-world scenarios. The UniMER dataset includes a large-scale training set, UniMER-1M, which offers unprecedented scale and diversity with one million training instances to train high-quality, robust models. Additionally, UniMER features a meticulously designed, diverse test set, UniMER-Test, which covers a variety of formula","https://arxiv.org/abs/2404.15254","Use UniMER-Test as an external cross-check dataset for the two-decoder agreement rate, so the stability test is validated against a real, curated out-of-distribution formula set.","high"
"D3","10.48550/arXiv.2408.09869","Docling Technical Report","2024","arXiv preprint","2","Docling is already one of our two extractors, and this is its own primary source for what DocLayNet/TableFormer numbers it is built on and updated against -- the report to cite instead of re-deriving Docling's claimed accuracy locally. It also documents the exact scope (layout + table structure) our IoU/containment merge with GROBID has to reconcile against.","Docling's layout and table-structure stages are specialized AI models (DocLayNet-trained layout analysis, TableFormer table-structure recognition) wrapped in a package designed to run on commodity hardware in a small resource budget.","This technical report introduces Docling, an easy to use, self-contained, MIT-licensed open-source package for PDF document conversion. It is powered by state-of-the-art specialized AI models for layout analysis (DocLayNet) and table structure recognition (TableFormer), and runs efficiently on commodity hardware in a small resource budget. The code interface allows for easy extensibility and addition of new features and models.","https://arxiv.org/abs/2408.09869","Track Docling's own versioned benchmark numbers release-over-release instead of re-deriving layout/table accuracy claims locally.","high"
"D4","10.1007/978-3-031-28032-0_31","A Benchmark of PDF Information Extraction Tools Using a Multi-task and Multi-domain Evaluation Framework for Academic Documents","2023","Springer LNCS (proceedings; specific conference not independently confirmed)","2","This is a direct, recent, multi-tool benchmark that includes GROBID (one of our two extractors) on the exact content types we care about (metadata, references, tables, equations), so its per-tool numbers are a ready external check on our own merge's output quality. Its explicit conclusion -- that combining tools, not picking one, is the path to satisfactory quality -- is the closest existing literature comes to endorsing our GROBID+Docling merge-by-IoU approach.","GROBID achieves the best metadata and reference-extraction results among ten freely available tools, but all tools (including GROBID) struggle badly on lists, footers, and equations, and the authors conclude more research on combining tools is needed.","GROBID achieves the best metadata and reference extraction results, followed by CERMINE and Science Parse. For table extraction, Adobe Extract outperforms other tools, even though the performance is much lower than for other content elements. All tools struggle to extract lists, footers, and equations.","https://arxiv.org/abs/2303.09957","Adopt their multi-tool, multi-domain evaluation framework (built on DocBank) as the template for benchmarking our GROBID+Docling merge instead of ad hoc spot checks.","high"
"D5","10.1109/jcdl.2017.7991564","A Benchmark and Evaluation for Text Extraction from PDF","2017","2017 ACM/IEEE Joint Conference on Digital Libraries (JCDL)","3","Our merge logic assumes GROBID and Docling each independently locate text 'regions,' but neither may extract the underlying characters correctly -- this paper is squarely about that prior question (character-level extraction correctness), built from a scalable TeX-vs-PDF parallel corpus rather than hand-labeled ground truth. Their finding that PDF text extraction was still not a 'solved problem' even among 14 specialized tools is a caution against assuming our two extractors' agreement implies correctness.","Because PDF is a layout format that specifies character positions rather than semantic units like words or paragraphs, extracting correct body text is a genuinely hard, unsolved problem; tool quality varies widely and is hard to assess without a benchmark like the one built here from 12,098 parallel TeX/PDF arXiv articles.","Extracting the body text from a PDF document is an important but surprisingly difficult task. The reason is that PDF is a layout-based format which specifies the fonts and positions of individual characters rather than the semantic units (e.g., words or paragraphs) and their role in the document (e.g., body text or caption). There is an abundance of extraction tools,","https://api.openalex.org/works/doi:10.1109/jcdl.2017.7991564","Reuse their TeX-vs-PDF parallel-corpus construction method (12,098 arXiv articles) to build an automatically-checkable ground truth for our own extraction QA, rather than hand-labeling.","medium"
"D6","10.1145/2960811.2967157","Enhancing the Searchability of Page-Image PDF Documents Using an Aligned Hidden Layer from a Truth Text","2016","Proceedings of the 2016 ACM Symposium on Document Engineering (DocEng)","3","Our ligature problem (glyphs mapped to control codes so search silently fails) is a ToUnicode/CMap correctness problem, and this paper's core method -- checking a hidden/derived text layer against ground truth -- is a directly transferable verification pattern for confirming a ToUnicode repair actually reproduces the right characters, not just that it runs without error. It is a narrower, more practitioner-level match than the retrieval/layout papers, reflecting how little this specific issue is treated as its own research topic in the open literature we could reach.","Search accuracy in a PDF with a hidden OCR-derived text layer depends entirely on the accuracy of the process that produced that hidden layer -- a wrong hidden layer looks fine visually but fails silently at search time.","The search accuracy achieved in a PDF image-plus-hidden-text (PDF-IT) document depends upon the accuracy of optical character recognition (OCR) process that produced the searchable hidden text layer. In many cases recognising words in blurred area of page image may exceed the capabilities of an OCR engine.","https://api.openalex.org/works/doi:10.1145/2960811.2967157","Borrow their hidden-text-layer alignment/verification idea as a template for a mechanical check that a repaired ToUnicode map actually reproduces the visible glyphs, instead of only checking that the repair runs without error.","medium"
"D7","10.48550/arXiv.2104.08663","BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models","2021","arXiv preprint (no separate venue DOI found in Crossref search within budget)","4","Our own numbers (recall@20 0.62 BM25 vs 0.57 dense, MRR favoring BM25) are exactly the BEIR headline finding reproduced at our own scale -- this is the primary source establishing that BM25 as a robust zero-shot/out-of-domain baseline that dense retrievers often fail to beat is not specific to our corpus or setup. It also tells us where the literature says to look next: re-ranking and late-interaction models, not bigger dense embeddings, are what closed the gap on their 18 heterogeneous datasets.","Across 18 diverse retrieval datasets, BM25 is a robust zero-shot baseline; dense and sparse-retrieval models are more computationally efficient but often underperform, while re-ranking and late-interaction models achieve the best zero-shot performance at high computational cost.","Our results show BM25 is a robust baseline and re-ranking and late-interaction-based models on average achieve the best zero-shot performances, however, at high computational costs. In contrast, dense and sparse-retrieval models are computationally more efficient but often underperform other approaches, highlighting the considerable room for improvement in their generalization capabilities.","https://arxiv.org/abs/2104.08663","Treat BM25-beats-dense-OOD as the expected default for our corpus, not an anomaly to re-tune away, and budget a re-ranking pass (not a bigger dense model) as the next lever if recall must improve.","high"
"D8","10.48550/arXiv.2504.19754","Reconstructing Context: Evaluating Advanced Chunking Strategies for Retrieval-Augmented Generation","2025","arXiv preprint","4","We chunk scientific text before embedding it for dense retrieval, and this is a direct, recent, head-to-head comparison of the two leading alternatives to naive fixed-size chunking (late chunking vs. contextual retrieval) on exactly the coherence/completeness failure mode we would expect is hurting our dense recall. Its finding -- contextual retrieval wins on coherence but costs more compute, late chunking is cheap but loses relevance -- gives us a concrete, evidence-backed choice instead of guessing between the two.","Contextual retrieval preserves semantic coherence more effectively than late chunking but requires greater computational resources, while late chunking is more efficient but tends to sacrifice relevance and completeness.","Despite their potential, their comparative strengths and limitations remain unclear. This study presents a rigorous analysis of late chunking and contextual retrieval, evaluating their effectiveness and efficiency in optimizing RAG systems. Our results indicate that contextual retrieval preserves semantic coherence more effectively but requires greater computational resources. In contrast, late chunking offers higher efficiency but tends to sacrifice relevance","https://arxiv.org/abs/2504.19754","Pilot contextual retrieval (not late chunking) as the next chunking change, since it is the one shown to preserve coherence at a compute cost we can likely absorb offline.","medium"
"D9","10.48550/arXiv.2412.07626","OmniDocBench: Benchmarking Diverse PDF Document Parsing with Comprehensive Annotations","2024","arXiv preprint","5","It is named directly in our own gap list as a benchmark to check GROBID/Docling-class tools against, and it fixes exactly the evaluation weakness we are at risk of (judging end-to-end only): 19 layout categories and 15 attribute labels let a regression in one element type (e.g., our weak equation extraction) be measured and reported instead of averaged away. It also covers document types beyond clean academic papers, which matters if our literature corpus includes scans, reports, or non-standard layouts.","Existing document-parsing benchmarks under-evaluate real tools because of narrow document-type coverage and oversimplified evaluation procedures; OmniDocBench addresses this with high-quality annotations across nine document sources and attribute-level (not just end-to-end) evaluation.","Document content extraction is a critical task in computer vision, underpinning the data needs of large language models (LLMs) and retrieval-augmented generation (RAG) systems. Despite recent progress, current document parsing methods have not been fairly and comprehensively evaluated due to the narrow coverage of document types and the simplified, unrealistic evaluation procedures in existing benchmarks.","https://arxiv.org/abs/2412.07626","Adopt OmniDocBench's per-attribute (not just end-to-end) scoring so a GROBID/Docling regression in one element type doesn't hide behind an aggregate score.","high"
"D10","10.1145/3534678.3539043","DocLayNet: A Large Human-Annotated Dataset for Document-Layout Segmentation","2022","Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD)","5","Our merge logic reconciles two extractors' overlapping region calls by IoU/containment -- DocLayNet had to solve the structurally identical problem of reconciling two or three independent human annotators' overlapping boxes on the same page, and published the resulting inter-annotator agreement as a number (models fall roughly 10% of mAP behind it). That gives us both a reusable IoU-based reconciliation protocol and a plausible ceiling: our GROBID/Docling merge should not be expected to agree better than two humans do.","On double- and triple-annotated pages used to measure inter-annotator agreement, even the best object-detection layout models evaluated fall about 10 percentage points of mAP behind human-to-human agreement.","DocLayNet also provides a subset of double- and triple-annotated pages to determine the inter-annotator agreement. In multiple experiments, we provide baseline accuracy scores (in mAP) for a set of popular object detection models. We also demonstrate that these models fall approximately 10% behind the inter-annotator agreement. Furthermore, we provide evidence that DocLayNet is of sufficient size.","https://arxiv.org/abs/2206.01062","Reuse DocLayNet's double-annotation/IoU inter-annotator-agreement protocol as the acceptance test for our GROBID-Docling merge: if our merge disagreement rate exceeds their measured human-human disagreement, the merge threshold needs retuning, not the extractors.","high"
